,URL,Unit_Name,Unit_ID,Apt_Name,No_Rooms,Bathroom,Street,Locality,Region,Longitude,Latitude,Furnished,Area,Floor,Tower,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,Currency,Annual_Price,Monthly_Price,Deposit_Currency,Deposit_Charge,Service_Currency,Service_Charge
5188,https://jendela360.com/sewa-apartemen-st-moritz-apartment/stmf004,ST Moritz Apartment 3BR Fully Furnished,stmf004,ST Moritz Apartment,3,2,"Jalan Puri Indah Raya Blok T3 No.6, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia 11610",Puri Indah,Jakarta Barat,106.73873,-6.190723,1,112.0,Lantai Atas,Tower -,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,200000000,200000000,IDR,16700000,IDR,2440000
5189,https://jendela360.com/sewa-apartemen-bassura-city-apartment/bscd063,Bassura City Apartment 3BR Fully Furnished,bscd063,Bassura City Apartment,3,1,"Jl.Cipinang Jaya DD RT.03/08 NO.39, Cipinang Besar Selatan, Jatinegara, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",Cipinang,Jakarta Timur,106.879075,-6.225031,1,48.0,Lantai Tengah,Tower Alamanda,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,19,IDR,91300000,91300000,IDR,7700000,,
5190,https://jendela360.com/sewa-apartemen-sunter-icon/stic015,Sunter Icon 2BR View City,stic015,Sunter Icon,2,1,"Jl. Griya Sejahtera, Sunter, Jakarta Utara, Indonesia 14350",Sunter,Jakarta Utara,106.853714,-6.134868,1,43.0,Lantai Rendah,Tower West,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,IDR,48750000,4100000,IDR,7500000,,
5191,https://jendela360.com/sewa-apartemen-ambassador-2-apartment/am2c002,Ambassador 2 Apartment 2BR Fully Furnished,am2c002,Ambassador 2 Apartment,2,1,"Jl . Prof Dr Satrio Karet No 8, Kuningan, Jakarta Selatan, DKI Jakara, Indonesia 12940",Kuningan,Jakarta Selatan,106.825918,-6.223273,1,88.0,Lantai Tengah,Tower 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,IDR,132000000,132000000,IDR,11000000,,
5192,https://jendela360.com/sewa-apartemen-the-mansion-kemayoran-jasmine/tmjc134,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5193,https://jendela360.com/sewa-apartemen-mediterania-gajah-mada-apartment/gmmc010,Mediterania Gajah Mada Apartment 2BR View City,gmmc010,Mediterania Gajah Mada Apartment,2,1,"Jl. Gajah Mada No. 174, Taman Sari, Jakarta Barat, DKI Jakarta, Indonesia 11130",Gajah Mada,Jakarta Barat,106.815297,-6.149237,1,46.0,Lantai Atas,Tower B,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,18,IDR,70000000,70000000,IDR,5900000,,
5194,https://jendela360.com/sewa-apartemen-sudirman-park-apartment/supc038,Sudirman Park Apartment 2BR Fully Furnished,supc038,Sudirman Park Apartment,2,1,"Jl. Kh. Mas Mansyur Kav. 35, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Sudirman,Jakarta Pusat,106.818029,-6.205971,1,48.0,Lantai Atas,Tower A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,IDR,84000000,84000000,IDR,7000000,,
5195,https://jendela360.com/sewa-apartemen-taman-anggrek-condominium-apartment/taac030,Taman Anggrek Condominium Apartment 2BR Tower 1,taac030,Taman Anggrek Condominium Apartment,2,1,"Tanjung Duren Selatan, Grogol petamburan, Tj. Duren Sel., Grogol petamburan, Jakarta Barat",Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88.0,Lantai Atas,Tower 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,IDR,110000000,10000000,IDR,10000000,IDR,1590000
5196,https://jendela360.com/sewa-apartemen-grand-kartini-apartment/grkb005,Grand Kartini Apartment 0BR,grkb005,Grand Kartini Apartment,1,1,"Jl. Kartini No. 26, Gunung Sahari, Jakarta Pusat, DKI Jakarta, Indonesia 10720",Mangga Besar,Jakarta Pusat,106.834047,-6.149718,1,25.0,Lantai Atas,Tower A,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,15,IDR,40000000,4000000,IDR,4000000,,
5197,https://jendela360.com/sewa-apartemen-woodland-park-residence-kalibata/wprb005,Woodland Park Residence Kalibata 1BR Tower cendana,wprb005,Woodland Park Residence Kalibata,1,1,"Jl. Kalibata Raya No. 22, Jakarta Selatan, DKI Jakarta, Indonesia, 12740",Kalibata,Jakarta Selatan,106.855352,-6.255809,1,39.0,Lantai Rendah,Tower Cendana,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,IDR,72000000,72000000,IDR,6000000,,
5198,https://jendela360.com/sewa-apartemen-brooklyn-alam-sutera-apartment/broc001,Brooklyn Alam Sutera Apartment 2BR Fully Furnished,broc001,Brooklyn Alam Sutera Apartment,2,1,"Jalan Alam Sutera Boulevard, Pakualam, Serpong Utara, Kota Tangerang Selatan, Banten 15320",Alam Sutera,Tangerang,106.6575,-6.2384,1,55.0,Lantai Atas,Tower B,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,13,IDR,85000000,85000000,IDR,7100000,,
5199,https://jendela360.com/sewa-apartemen-mediterania-garden-residence-2/mg2d023,Mediterania Garden Residence 2 3BR Fully Furnished,mg2d023,Mediterania Garden Residence 2,3,2,"RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City",Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,70.0,Lantai Atas,Tower K,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,95000000,NA,IDR,8000000,IDR,1260000
5200,https://jendela360.com/sewa-apartemen-belleza-apartment/blza002,Belleza Apartment Studio Fully Furnished,blza002,Belleza Apartment,0,1,"Jl. Arteri Permata Hijau No.34, Grogol Utara, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210",Permata Hijau,Jakarta Selatan,106.783318,-6.220183,1,45.0,Lantai Atas,Tower Albergo,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,IDR,66000000,66000000,IDR,5500000,IDR,790000
