,URL,Unit_ID,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
1587,https://jendela360.com/sewa-apartemen-puri-park-view-apartment/ppva042,ppva042,0,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,22,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,30000000,Full
1588,https://jendela360.com/sewa-apartemen-sunter-park-view-apartment/spvc009,spvc009,2,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,36,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,35000000,Full
1589,https://jendela360.com/sewa-apartemen-puri-park-view-apartment/ppvc145,ppvc145,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,14,25000000,Non
1590,https://jendela360.com/sewa-apartemen-batavia-apartment/btvb038,btvb038,1,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,23,104550000,Full
1591,https://jendela360.com/sewa-apartemen-gp-plaza-apartment/gppc007,gppc007,2,2,Slipi,Jakarta Pusat,106.799198,-6.202724,1,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,108000000,Full
1592,https://jendela360.com/sewa-apartemen-mediterania-marina-ancol-apartment/mmac021,mmac021,2,2,Ancol,Jakarta Utara,106.82921,-6.128082,1,61,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21,50000000,Full
1593,https://jendela360.com/sewa-apartemen-nifarro-park-apartment/nfra003,nfra003,0,1,Pasar Minggu,Jakarta Selatan,106.844157,-6.263361,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,55000000,Full
1594,https://jendela360.com/sewa-apartemen-taman-anggrek-condominium-apartment/taac031,taac031,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,95000000,Full
1595,https://jendela360.com/sewa-apartemen-gading-icon-apartment/gdic013,gdic013,2,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,24500000,Full
1596,https://jendela360.com/sewa-apartemen-menteng-park/mepa110,mepa110,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,16,60000000,Full
1597,https://jendela360.com/sewa-apartemen-taman-anggrek-residence/trsb130,trsb130,1,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,38,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,8,60000000,Full
1598,https://jendela360.com/sewa-apartemen-cosmo-mansion-thamrin-city/jkrb032,jkrb032,1,1,Thamrin,Jakarta Pusat,106.818654,-6.194443,1,42,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,20,72000000,Full
1599,https://jendela360.com/sewa-apartemen-sky-terrace-apartment/stac007,stac007,2,1,Daan Mogot,Jakarta Barat,106.712876,-6.151427,1,49,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,55000000,Full
1600,https://jendela360.com/sewa-apartemen-cosmo-terrace-thamrin-city/cstb007,cstb007,1,1,Thamrin,Jakarta Pusat,106.815474,-6.194509,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,84000000,Full
1601,https://jendela360.com/sewa-apartemen-pondok-indah-golf-apartment/pond003,pond003,3,2,Pondok Indah,Jakarta Selatan,106.7846,-6.272637,1,190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,559400000,Full
1602,https://jendela360.com/sewa-apartemen-season-city-apartment/sscc069,sscc069,2,2,Grogol,Jakarta Barat,106.796056,-6.153652,0,48,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,18,33000000,Non
1603,https://jendela360.com/sewa-apartemen-lavande-residence/lvdc019,lvdc019,2,1,Tebet,Jakarta Selatan,106.843171,-6.236462,1,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,95000000,Full
1604,https://jendela360.com/sewa-apartemen-tamansari-semanggi-apartment/tssa070,tssa070,0,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,34,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,80000000,Full
1605,https://jendela360.com/sewa-apartemen-metro-park-residence/mpra014,mpra014,0,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,27,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,42150000,Full
1606,https://jendela360.com/sewa-apartemen-puri-park-view-apartment/ppvc180,ppvc180,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,36,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,15,24000000,Non
1607,https://jendela360.com/sewa-apartemen-springhill-terrace-residence/spha010,spha010,1,1,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,33,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,14,55000000,Full
