,RFR_RMSE,RFR_R2,XGB_RMSE,XGB_R2,LGB_RMSE,LGB_R2,AVG1_RMSE,AVG1_R2,AVG2_RMSE,AVG2_R2
291,27142594.815985598,0.8987930576893809,28552484.077864777,0.888005840990317,27112965.23760136,0.8990138974661095,26763397.96214269,0.9016011368789463,27277031.54105695,0.8977880229887983
292,28338714.224189248,0.9039733252322383,29754490.255791754,0.8941388430947852,27950694.441992857,0.9065849583115143,27576521.18178454,0.9090692938473097,27989620.16846211,0.9063245869356581
293,30559902.67571883,0.9048197512638472,31785633.76361778,0.8970314369687673,29792212.723232787,0.9095416998661682,29781321.88758494,0.909607823616039,30163364.392100178,0.9072737998337922
294,28335179.92756851,0.8965090642182498,29054375.962523796,0.8911888329317172,27662994.834331706,0.9013609784270187,27556848.81204619,0.9021165041604224,27886061.6012893,0.8997637687837394
295,31204908.758637585,0.8828136955569849,30668237.921521652,0.8868098404284478,29264401.09443575,0.8969352140421479,29298445.566415366,0.8966952756157034,29285741.622517265,0.8967848430225133
296,29386697.57086318,0.8931603162202149,30805443.051141787,0.8825951750017944,28359471.37142372,0.9004990357731765,28852106.0129104,0.8970121325299366,29084721.874318402,0.8953447890906864
297,31091433.732812222,0.8937421921138863,31796241.832988597,0.8888700967213875,30316522.839917175,0.8989728433697666,30423524.15293134,0.898258439852604,30616462.197155956,0.8969639112424086
298,30320306.200708613,0.8977681102593913,31339614.021904994,0.8907789091354044,30855090.34388944,0.8941300110513921,30075561.45530543,0.8994118756198533,30442691.888831124,0.8969411415994736
299,26235901.719656035,0.9028516890488728,25850514.597963348,0.9056848088490903,25776529.95549774,0.9062238998808341,24991481.58751055,0.9118489945005788,24965878.201244075,0.9120295206629196
300,31436519.537026696,0.8835682499756256,31824414.60879186,0.8806772214781973,30874596.54432747,0.8876934483990238,30523544.21209424,0.8902328394972219,30763005.201727107,0.8885038097975685
301,32922823.319957804,0.8870865892343114,32007472.761637397,0.8932779515232325,32336789.30762838,0.8910705834344073,31753975.18602849,0.8949617238386794,31635528.706451483,0.8957438753588471
302,33332948.64660611,0.8767302968986103,33487677.296122942,0.8755832262738675,33032289.782784887,0.8789440213114623,32666898.939564474,0.8816073609325814,32832421.839568447,0.8804045322752022
303,33051741.367473975,0.8796074324134606,34349611.77926011,0.8699666799406582,32552907.174323656,0.8832140642625649,32514979.764796942,0.8834860404425601,33005976.95746698,0.8799405997537908
304,28806703.49514352,0.9128100699063177,30710607.680865277,0.9009040228159073,28737821.833538163,0.9132265428872395,28509868.874502636,0.9145976848147298,29114519.808329135,0.9109367646042703
305,31917754.084322587,0.8892003997966965,31973018.745989226,0.8888163750585054,30659151.10527689,0.8977663664799327,30555265.461133156,0.8984580107705551,30751655.445099164,0.8971485201744575
306,30752148.57846988,0.8941583010589068,31344944.218223218,0.8900384440520089,29313632.569027174,0.9038287737493231,29698200.868978105,0.9012888629526825,29883308.94944652,0.9000545003504006
307,32548041.78991423,0.8789924041028009,32641434.098751675,0.8782969771729112,31703163.256437205,0.885193071778844,31669193.707404833,0.8854389683903158,31655839.324854188,0.8855355650571223
308,28001518.939781867,0.8901131721062112,28703533.28076764,0.8845342513182451,27090128.645745516,0.897149930116637,27112028.3749156,0.8969835743843765,27335075.824030902,0.8952815941837221
